Soil ID	Soil name	Soil layer index	Soil layer top depth	Soil layer base depth	Soil layer thickness	Soil Bulk Density	soil_organic_C_perc_layr	soil_water_saturated	Volumetric water content at drained upper limit (field capacity)	Volumetric water content at lower limit (Permanent wilting point)	Soil clay percentage	soil_silt_fraction	soil_sand_fraction	Volumetric specific heat of soil
text	text	number	cm	cm	cm	g[soil] / cm3 [soil]	g[C]/100g[soil]	cm3/cm3	cm3[water] / cm3 [soil]	cm3[water] / cm3 [soil]	%	%	%	MJ/m3/Â°C
SOIL_ID	SOIL_NAME	SLID	SLLT	SLLB	THICK	SLBDM	SLOC	SLSAT	SLDUL	SLLL	SLCLY	SLSIL	SLSND	SVSE
SICL	SiltyClay	1	0	5	5	1.3	1.75	0.481	0.385	0.228	50	45	5	2.39
SICL	SiltyClay	2	5	15	10	1.3	1.75	0.481	0.385	0.228	50	45	5	2.39
SICL	SiltyClay	3	15	30	15	1.3	1.6	0.482	0.406	0.249	50	45	5	2.39
SICL	SiltyClay	4	30	45	15	1.35	1.45	0.465	0.406	0.249	50	45	5	2.39
SICL	SiltyClay	5	45	60	15	1.35	1.45	0.465	0.406	0.249	50	45	5	2.39
SICL	SiltyClay	6	60	90	30	1.35	1.1	0.468	0.456	0.308	50	45	5	2.39
SICL	SiltyClay	7	90	120	30	1.4	0.65	0.452	0.341	0.207	50	45	5	2.39
SICL	SiltyClay	8	120	150	30	1.4	0.3	0.455	0.365	0.243	50	45	5	2.39
SICL	SiltyClay	9	150	180	30	1.4	0.1	0.457	0.361	0.259	50	45	5	2.39
SICL	SiltyClay	10	180	210	30	1.4	0.01	0.457	0.361	0.259	50	45	5	2.39
SILO	SiltyLoam	1	0	5	5	1.37	1.16	0.45	0.227	0.11	10	60	30	2.39
SILO	SiltyLoam	2	5	15	10	1.37	1.16	0.45	0.227	0.11	10	60	30	2.39
SILO	SiltyLoam	3	15	30	15	1.37	1.1	0.451	0.201	0.103	10	60	30	2.39
SILO	SiltyLoam	4	30	45	15	1.37	0.97	0.452	0.193	0.099	10	60	30	2.39
SILO	SiltyLoam	5	45	60	15	1.37	0.97	0.452	0.193	0.099	10	60	30	2.39
SILO	SiltyLoam	6	60	90	30	1.38	0.72	0.45	0.173	0.088	10	60	30	2.39
SILO	SiltyLoam	7	90	120	30	1.38	0.43	0.452	0.165	0.079	10	60	30	2.39
SILO	SiltyLoam	8	120	150	30	1.39	0.2	0.45	0.178	0.086	10	60	30	2.39
SILO	SiltyLoam	9	150	180	30	1.39	0.06	0.451	0.174	0.072	10	60	30	2.39
SILO	SiltyLoam	10	180	210	30	1.39	0.01	0.452	0.174	0.072	10	60	30	2.39
SALO	SandyLoam	1	0	5	5	1.61	0.7	0.359	0.176	0.052	10	30	60	2.39
SALO	SandyLoam	2	5	15	10	1.61	0.7	0.359	0.176	0.052	10	30	60	2.39
SALO	SandyLoam	3	15	30	15	1.61	0.66	0.359	0.176	0.052	10	30	60	2.39
SALO	SandyLoam	4	30	45	15	1.61	0.58	0.36	0.192	0.073	10	30	60	2.39
SALO	SandyLoam	5	45	60	15	1.61	0.58	0.36	0.192	0.073	10	30	60	2.39
SALO	SandyLoam	6	60	90	30	1.61	0.43	0.361	0.232	0.128	10	30	60	2.39
SALO	SandyLoam	7	90	120	30	1.62	0.26	0.359	0.243	0.143	10	30	60	2.39
SALO	SandyLoam	8	120	150	30	1.62	0.12	0.36	0.243	0.138	10	30	60	2.39
SALO	SandyLoam	9	150	180	30	1.62	0.04	0.361	0.244	0.138	10	30	60	2.39
SALO	SandyLoam	10	180	210	30	1.62	0.01	0.361	0.244	0.138	10	30	60	2.39
SAND	Sand	1	0	5	5	1.66	0.29	0.345	0.096	0.025	5	5	90	2.39
SAND	Sand	2	5	15	10	1.66	0.29	0.345	0.096	0.025	5	5	90	2.39
SAND	Sand	3	15	30	15	1.66	0.28	0.345	0.097	0.023	5	5	90	2.39
SAND	Sand	4	30	45	15	1.66	0.24	0.345	0.097	0.023	5	5	90	2.39
SAND	Sand	5	45	60	15	1.66	0.24	0.345	0.097	0.023	5	5	90	2.39
SAND	Sand	6	60	90	30	1.66	0.18	0.346	0.091	0.018	5	5	90	2.39
SAND	Sand	7	90	120	30	1.66	0.11	0.346	0.095	0.02	5	5	90	2.39
SAND	Sand	8	120	150	30	1.66	0.05	0.347	0.091	0.021	5	5	90	2.39
SAND	Sand	9	150	180	30	1.66	0.01	0.347	0.091	0.021	5	5	90	2.39
SAND	Sand	10	180	210	30	1.66	0	0.347	0.091	0.021	5	5	90	2.39
