projectID	Simulation ID	Treatment ID	Soil ID	Weather station ID	weather_file	Leaf area index	Plant available water content	Irrigation amount	Surface organic residue, dry mass	Total above ground dry mass	Mulch thickness 
text	text	text	text	text	text	m²/m²	-	mm	kg[C]/ha	kg[DM]/ha	mm
ProjectID	SM	TREAT_ID	SOIL_ID	WST_ID	WST_DATASET	LAID	AWC	IRVAL	LC0D	CWAD	MLTHK
USGAL0AW0.00	SICL_USGA_L0AW0.00	L0AW0.00	SICL	USGA	USGAL0AW0.00	0	0.00	0	0	0	0
USGAL0AW0.00	SILO_USGA_L0AW0.00	L0AW0.00	SILO	USGA	USGAL0AW0.00	0	0.00	0	0	0	0
USGAL0AW0.00	SALO_USGA_L0AW0.00	L0AW0.00	SALO	USGA	USGAL0AW0.00	0	0.00	0	0	0	0
USGAL0AW0.00	SAND_USGA_L0AW0.00	L0AW0.00	SAND	USGA	USGAL0AW0.00	0	0.00	0	0	0	0
DEMUL0AW0.00	SICL_DEMU_L0AW0.00	L0AW0.00	SICL	DEMU	DEMUL0AW0.00	0	0.00	0	0	0	0
DEMUL0AW0.00	SILO_DEMU_L0AW0.00	L0AW0.00	SILO	DEMU	DEMUL0AW0.00	0	0.00	0	0	0	0
DEMUL0AW0.00	SALO_DEMU_L0AW0.00	L0AW0.00	SALO	DEMU	DEMUL0AW0.00	0	0.00	0	0	0	0
DEMUL0AW0.00	SAND_DEMU_L0AW0.00	L0AW0.00	SAND	DEMU	DEMUL0AW0.00	0	0.00	0	0	0	0
COCAL0AW0.00	SICL_COCA_L0AW0.00	L0AW0.00	SICL	COCA	COCAL0AW0.00	0	0.00	0	0	0	0
COCAL0AW0.00	SILO_COCA_L0AW0.00	L0AW0.00	SILO	COCA	COCAL0AW0.00	0	0.00	0	0	0	0
COCAL0AW0.00	SALO_COCA_L0AW0.00	L0AW0.00	SALO	COCA	COCAL0AW0.00	0	0.00	0	0	0	0
COCAL0AW0.00	SAND_COCA_L0AW0.00	L0AW0.00	SAND	COCA	COCAL0AW0.00	0	0.00	0	0	0	0
FRLUL0AW0.00	SICL_FRLU_L0AW0.00	L0AW0.00	SICL	FRLU	FRLUL0AW0.00	0	0.00	0	0	0	0
FRLUL0AW0.00	SILO_FRLU_L0AW0.00	L0AW0.00	SILO	FRLU	FRLUL0AW0.00	0	0.00	0	0	0	0
FRLUL0AW0.00	SALO_FRLU_L0AW0.00	L0AW0.00	SALO	FRLU	FRLUL0AW0.00	0	0.00	0	0	0	0
FRLUL0AW0.00	SAND_FRLU_L0AW0.00	L0AW0.00	SAND	FRLU	FRLUL0AW0.00	0	0.00	0	0	0	0
USMAL0AW0.00	SICL_USMA_L0AW0.00	L0AW0.00	SICL	USMA	USMAL0AW0.00	0	0.00	0	0	0	0
USMAL0AW0.00	SILO_USMA_L0AW0.00	L0AW0.00	SILO	USMA	USMAL0AW0.00	0	0.00	0	0	0	0
USMAL0AW0.00	SALO_USMA_L0AW0.00	L0AW0.00	SALO	USMA	USMAL0AW0.00	0	0.00	0	0	0	0
USMAL0AW0.00	SAND_USMA_L0AW0.00	L0AW0.00	SAND	USMA	USMAL0AW0.00	0	0.00	0	0	0	0
FRMOL0AW0.00	SICL_FRMO_L0AW0.00	L0AW0.00	SICL	FRMO	FRMOL0AW0.00	0	0.00	0	0	0	0
FRMOL0AW0.00	SILO_FRMO_L0AW0.00	L0AW0.00	SILO	FRMO	FRMOL0AW0.00	0	0.00	0	0	0	0
FRMOL0AW0.00	SALO_FRMO_L0AW0.00	L0AW0.00	SALO	FRMO	FRMOL0AW0.00	0	0.00	0	0	0	0
FRMOL0AW0.00	SAND_FRMO_L0AW0.00	L0AW0.00	SAND	FRMO	FRMOL0AW0.00	0	0.00	0	0	0	0
CAQCL0AW0.00	SICL_CAQC_L0AW0.00	L0AW0.00	SICL	CAQC	CAQCL0AW0.00	0	0.00	0	0	0	0
CAQCL0AW0.00	SILO_CAQC_L0AW0.00	L0AW0.00	SILO	CAQC	CAQCL0AW0.00	0	0.00	0	0	0	0
CAQCL0AW0.00	SALO_CAQC_L0AW0.00	L0AW0.00	SALO	CAQC	CAQCL0AW0.00	0	0.00	0	0	0	0
CAQCL0AW0.00	SAND_CAQC_L0AW0.00	L0AW0.00	SAND	CAQC	CAQCL0AW0.00	0	0.00	0	0	0	0
USGAL0AW0.25	SICL_USGA_L0AW0.25	L0AW0.25	SICL	USGA	USGAL0AW0.25	0	0.25	0	0	0	0
USGAL0AW0.25	SILO_USGA_L0AW0.25	L0AW0.25	SILO	USGA	USGAL0AW0.25	0	0.25	0	0	0	0
USGAL0AW0.25	SALO_USGA_L0AW0.25	L0AW0.25	SALO	USGA	USGAL0AW0.25	0	0.25	0	0	0	0
USGAL0AW0.25	SAND_USGA_L0AW0.25	L0AW0.25	SAND	USGA	USGAL0AW0.25	0	0.25	0	0	0	0
DEMUL0AW0.25	SICL_DEMU_L0AW0.25	L0AW0.25	SICL	DEMU	DEMUL0AW0.25	0	0.25	0	0	0	0
DEMUL0AW0.25	SILO_DEMU_L0AW0.25	L0AW0.25	SILO	DEMU	DEMUL0AW0.25	0	0.25	0	0	0	0
DEMUL0AW0.25	SALO_DEMU_L0AW0.25	L0AW0.25	SALO	DEMU	DEMUL0AW0.25	0	0.25	0	0	0	0
DEMUL0AW0.25	SAND_DEMU_L0AW0.25	L0AW0.25	SAND	DEMU	DEMUL0AW0.25	0	0.25	0	0	0	0
COCAL0AW0.25	SICL_COCA_L0AW0.25	L0AW0.25	SICL	COCA	COCAL0AW0.25	0	0.25	0	0	0	0
COCAL0AW0.25	SILO_COCA_L0AW0.25	L0AW0.25	SILO	COCA	COCAL0AW0.25	0	0.25	0	0	0	0
COCAL0AW0.25	SALO_COCA_L0AW0.25	L0AW0.25	SALO	COCA	COCAL0AW0.25	0	0.25	0	0	0	0
COCAL0AW0.25	SAND_COCA_L0AW0.25	L0AW0.25	SAND	COCA	COCAL0AW0.25	0	0.25	0	0	0	0
FRLUL0AW0.25	SICL_FRLU_L0AW0.25	L0AW0.25	SICL	FRLU	FRLUL0AW0.25	0	0.25	0	0	0	0
FRLUL0AW0.25	SILO_FRLU_L0AW0.25	L0AW0.25	SILO	FRLU	FRLUL0AW0.25	0	0.25	0	0	0	0
FRLUL0AW0.25	SALO_FRLU_L0AW0.25	L0AW0.25	SALO	FRLU	FRLUL0AW0.25	0	0.25	0	0	0	0
FRLUL0AW0.25	SAND_FRLU_L0AW0.25	L0AW0.25	SAND	FRLU	FRLUL0AW0.25	0	0.25	0	0	0	0
USMAL0AW0.25	SICL_USMA_L0AW0.25	L0AW0.25	SICL	USMA	USMAL0AW0.25	0	0.25	0	0	0	0
USMAL0AW0.25	SILO_USMA_L0AW0.25	L0AW0.25	SILO	USMA	USMAL0AW0.25	0	0.25	0	0	0	0
USMAL0AW0.25	SALO_USMA_L0AW0.25	L0AW0.25	SALO	USMA	USMAL0AW0.25	0	0.25	0	0	0	0
USMAL0AW0.25	SAND_USMA_L0AW0.25	L0AW0.25	SAND	USMA	USMAL0AW0.25	0	0.25	0	0	0	0
FRMOL0AW0.25	SICL_FRMO_L0AW0.25	L0AW0.25	SICL	FRMO	FRMOL0AW0.25	0	0.25	0	0	0	0
FRMOL0AW0.25	SILO_FRMO_L0AW0.25	L0AW0.25	SILO	FRMO	FRMOL0AW0.25	0	0.25	0	0	0	0
FRMOL0AW0.25	SALO_FRMO_L0AW0.25	L0AW0.25	SALO	FRMO	FRMOL0AW0.25	0	0.25	0	0	0	0
FRMOL0AW0.25	SAND_FRMO_L0AW0.25	L0AW0.25	SAND	FRMO	FRMOL0AW0.25	0	0.25	0	0	0	0
CAQCL0AW0.25	SICL_CAQC_L0AW0.25	L0AW0.25	SICL	CAQC	CAQCL0AW0.25	0	0.25	0	0	0	0
CAQCL0AW0.25	SILO_CAQC_L0AW0.25	L0AW0.25	SILO	CAQC	CAQCL0AW0.25	0	0.25	0	0	0	0
CAQCL0AW0.25	SALO_CAQC_L0AW0.25	L0AW0.25	SALO	CAQC	CAQCL0AW0.25	0	0.25	0	0	0	0
CAQCL0AW0.25	SAND_CAQC_L0AW0.25	L0AW0.25	SAND	CAQC	CAQCL0AW0.25	0	0.25	0	0	0	0
USGAL0AW0.50	SICL_USGA_L0AW0.50	L0AW0.50	SICL	USGA	USGAL0AW0.50	0	0.50	0	0	0	0
USGAL0AW0.50	SILO_USGA_L0AW0.50	L0AW0.50	SILO	USGA	USGAL0AW0.50	0	0.50	0	0	0	0
USGAL0AW0.50	SALO_USGA_L0AW0.50	L0AW0.50	SALO	USGA	USGAL0AW0.50	0	0.50	0	0	0	0
USGAL0AW0.50	SAND_USGA_L0AW0.50	L0AW0.50	SAND	USGA	USGAL0AW0.50	0	0.50	0	0	0	0
DEMUL0AW0.50	SICL_DEMU_L0AW0.50	L0AW0.50	SICL	DEMU	DEMUL0AW0.50	0	0.50	0	0	0	0
DEMUL0AW0.50	SILO_DEMU_L0AW0.50	L0AW0.50	SILO	DEMU	DEMUL0AW0.50	0	0.50	0	0	0	0
DEMUL0AW0.50	SALO_DEMU_L0AW0.50	L0AW0.50	SALO	DEMU	DEMUL0AW0.50	0	0.50	0	0	0	0
DEMUL0AW0.50	SAND_DEMU_L0AW0.50	L0AW0.50	SAND	DEMU	DEMUL0AW0.50	0	0.50	0	0	0	0
COCAL0AW0.50	SICL_COCA_L0AW0.50	L0AW0.50	SICL	COCA	COCAL0AW0.50	0	0.50	0	0	0	0
COCAL0AW0.50	SILO_COCA_L0AW0.50	L0AW0.50	SILO	COCA	COCAL0AW0.50	0	0.50	0	0	0	0
COCAL0AW0.50	SALO_COCA_L0AW0.50	L0AW0.50	SALO	COCA	COCAL0AW0.50	0	0.50	0	0	0	0
COCAL0AW0.50	SAND_COCA_L0AW0.50	L0AW0.50	SAND	COCA	COCAL0AW0.50	0	0.50	0	0	0	0
FRLUL0AW0.50	SICL_FRLU_L0AW0.50	L0AW0.50	SICL	FRLU	FRLUL0AW0.50	0	0.50	0	0	0	0
FRLUL0AW0.50	SILO_FRLU_L0AW0.50	L0AW0.50	SILO	FRLU	FRLUL0AW0.50	0	0.50	0	0	0	0
FRLUL0AW0.50	SALO_FRLU_L0AW0.50	L0AW0.50	SALO	FRLU	FRLUL0AW0.50	0	0.50	0	0	0	0
FRLUL0AW0.50	SAND_FRLU_L0AW0.50	L0AW0.50	SAND	FRLU	FRLUL0AW0.50	0	0.50	0	0	0	0
USMAL0AW0.50	SICL_USMA_L0AW0.50	L0AW0.50	SICL	USMA	USMAL0AW0.50	0	0.50	0	0	0	0
USMAL0AW0.50	SILO_USMA_L0AW0.50	L0AW0.50	SILO	USMA	USMAL0AW0.50	0	0.50	0	0	0	0
USMAL0AW0.50	SALO_USMA_L0AW0.50	L0AW0.50	SALO	USMA	USMAL0AW0.50	0	0.50	0	0	0	0
USMAL0AW0.50	SAND_USMA_L0AW0.50	L0AW0.50	SAND	USMA	USMAL0AW0.50	0	0.50	0	0	0	0
FRMOL0AW0.50	SICL_FRMO_L0AW0.50	L0AW0.50	SICL	FRMO	FRMOL0AW0.50	0	0.50	0	0	0	0
FRMOL0AW0.50	SILO_FRMO_L0AW0.50	L0AW0.50	SILO	FRMO	FRMOL0AW0.50	0	0.50	0	0	0	0
FRMOL0AW0.50	SALO_FRMO_L0AW0.50	L0AW0.50	SALO	FRMO	FRMOL0AW0.50	0	0.50	0	0	0	0
FRMOL0AW0.50	SAND_FRMO_L0AW0.50	L0AW0.50	SAND	FRMO	FRMOL0AW0.50	0	0.50	0	0	0	0
CAQCL0AW0.50	SICL_CAQC_L0AW0.50	L0AW0.50	SICL	CAQC	CAQCL0AW0.50	0	0.50	0	0	0	0
CAQCL0AW0.50	SILO_CAQC_L0AW0.50	L0AW0.50	SILO	CAQC	CAQCL0AW0.50	0	0.50	0	0	0	0
CAQCL0AW0.50	SALO_CAQC_L0AW0.50	L0AW0.50	SALO	CAQC	CAQCL0AW0.50	0	0.50	0	0	0	0
CAQCL0AW0.50	SAND_CAQC_L0AW0.50	L0AW0.50	SAND	CAQC	CAQCL0AW0.50	0	0.50	0	0	0	0
USGAL0AW0.75	SICL_USGA_L0AW0.75	L0AW0.75	SICL	USGA	USGAL0AW0.75	0	0.75	0	0	0	0
USGAL0AW0.75	SILO_USGA_L0AW0.75	L0AW0.75	SILO	USGA	USGAL0AW0.75	0	0.75	0	0	0	0
USGAL0AW0.75	SALO_USGA_L0AW0.75	L0AW0.75	SALO	USGA	USGAL0AW0.75	0	0.75	0	0	0	0
USGAL0AW0.75	SAND_USGA_L0AW0.75	L0AW0.75	SAND	USGA	USGAL0AW0.75	0	0.75	0	0	0	0
DEMUL0AW0.75	SICL_DEMU_L0AW0.75	L0AW0.75	SICL	DEMU	DEMUL0AW0.75	0	0.75	0	0	0	0
DEMUL0AW0.75	SILO_DEMU_L0AW0.75	L0AW0.75	SILO	DEMU	DEMUL0AW0.75	0	0.75	0	0	0	0
DEMUL0AW0.75	SALO_DEMU_L0AW0.75	L0AW0.75	SALO	DEMU	DEMUL0AW0.75	0	0.75	0	0	0	0
DEMUL0AW0.75	SAND_DEMU_L0AW0.75	L0AW0.75	SAND	DEMU	DEMUL0AW0.75	0	0.75	0	0	0	0
COCAL0AW0.75	SICL_COCA_L0AW0.75	L0AW0.75	SICL	COCA	COCAL0AW0.75	0	0.75	0	0	0	0
COCAL0AW0.75	SILO_COCA_L0AW0.75	L0AW0.75	SILO	COCA	COCAL0AW0.75	0	0.75	0	0	0	0
COCAL0AW0.75	SALO_COCA_L0AW0.75	L0AW0.75	SALO	COCA	COCAL0AW0.75	0	0.75	0	0	0	0
COCAL0AW0.75	SAND_COCA_L0AW0.75	L0AW0.75	SAND	COCA	COCAL0AW0.75	0	0.75	0	0	0	0
FRLUL0AW0.75	SICL_FRLU_L0AW0.75	L0AW0.75	SICL	FRLU	FRLUL0AW0.75	0	0.75	0	0	0	0
FRLUL0AW0.75	SILO_FRLU_L0AW0.75	L0AW0.75	SILO	FRLU	FRLUL0AW0.75	0	0.75	0	0	0	0
FRLUL0AW0.75	SALO_FRLU_L0AW0.75	L0AW0.75	SALO	FRLU	FRLUL0AW0.75	0	0.75	0	0	0	0
FRLUL0AW0.75	SAND_FRLU_L0AW0.75	L0AW0.75	SAND	FRLU	FRLUL0AW0.75	0	0.75	0	0	0	0
USMAL0AW0.75	SICL_USMA_L0AW0.75	L0AW0.75	SICL	USMA	USMAL0AW0.75	0	0.75	0	0	0	0
USMAL0AW0.75	SILO_USMA_L0AW0.75	L0AW0.75	SILO	USMA	USMAL0AW0.75	0	0.75	0	0	0	0
USMAL0AW0.75	SALO_USMA_L0AW0.75	L0AW0.75	SALO	USMA	USMAL0AW0.75	0	0.75	0	0	0	0
USMAL0AW0.75	SAND_USMA_L0AW0.75	L0AW0.75	SAND	USMA	USMAL0AW0.75	0	0.75	0	0	0	0
FRMOL0AW0.75	SICL_FRMO_L0AW0.75	L0AW0.75	SICL	FRMO	FRMOL0AW0.75	0	0.75	0	0	0	0
FRMOL0AW0.75	SILO_FRMO_L0AW0.75	L0AW0.75	SILO	FRMO	FRMOL0AW0.75	0	0.75	0	0	0	0
FRMOL0AW0.75	SALO_FRMO_L0AW0.75	L0AW0.75	SALO	FRMO	FRMOL0AW0.75	0	0.75	0	0	0	0
FRMOL0AW0.75	SAND_FRMO_L0AW0.75	L0AW0.75	SAND	FRMO	FRMOL0AW0.75	0	0.75	0	0	0	0
CAQCL0AW0.75	SICL_CAQC_L0AW0.75	L0AW0.75	SICL	CAQC	CAQCL0AW0.75	0	0.75	0	0	0	0
CAQCL0AW0.75	SILO_CAQC_L0AW0.75	L0AW0.75	SILO	CAQC	CAQCL0AW0.75	0	0.75	0	0	0	0
CAQCL0AW0.75	SALO_CAQC_L0AW0.75	L0AW0.75	SALO	CAQC	CAQCL0AW0.75	0	0.75	0	0	0	0
CAQCL0AW0.75	SAND_CAQC_L0AW0.75	L0AW0.75	SAND	CAQC	CAQCL0AW0.75	0	0.75	0	0	0	0
USGAL0AW1.00	SICL_USGA_L0AW1.00	L0AW1.00	SICL	USGA	USGAL0AW1.00	0	1.00	0	0	0	0
USGAL0AW1.00	SILO_USGA_L0AW1.00	L0AW1.00	SILO	USGA	USGAL0AW1.00	0	1.00	0	0	0	0
USGAL0AW1.00	SALO_USGA_L0AW1.00	L0AW1.00	SALO	USGA	USGAL0AW1.00	0	1.00	0	0	0	0
USGAL0AW1.00	SAND_USGA_L0AW1.00	L0AW1.00	SAND	USGA	USGAL0AW1.00	0	1.00	0	0	0	0
DEMUL0AW1.00	SICL_DEMU_L0AW1.00	L0AW1.00	SICL	DEMU	DEMUL0AW1.00	0	1.00	0	0	0	0
DEMUL0AW1.00	SILO_DEMU_L0AW1.00	L0AW1.00	SILO	DEMU	DEMUL0AW1.00	0	1.00	0	0	0	0
DEMUL0AW1.00	SALO_DEMU_L0AW1.00	L0AW1.00	SALO	DEMU	DEMUL0AW1.00	0	1.00	0	0	0	0
DEMUL0AW1.00	SAND_DEMU_L0AW1.00	L0AW1.00	SAND	DEMU	DEMUL0AW1.00	0	1.00	0	0	0	0
COCAL0AW1.00	SICL_COCA_L0AW1.00	L0AW1.00	SICL	COCA	COCAL0AW1.00	0	1.00	0	0	0	0
COCAL0AW1.00	SILO_COCA_L0AW1.00	L0AW1.00	SILO	COCA	COCAL0AW1.00	0	1.00	0	0	0	0
COCAL0AW1.00	SALO_COCA_L0AW1.00	L0AW1.00	SALO	COCA	COCAL0AW1.00	0	1.00	0	0	0	0
COCAL0AW1.00	SAND_COCA_L0AW1.00	L0AW1.00	SAND	COCA	COCAL0AW1.00	0	1.00	0	0	0	0
FRLUL0AW1.00	SICL_FRLU_L0AW1.00	L0AW1.00	SICL	FRLU	FRLUL0AW1.00	0	1.00	0	0	0	0
FRLUL0AW1.00	SILO_FRLU_L0AW1.00	L0AW1.00	SILO	FRLU	FRLUL0AW1.00	0	1.00	0	0	0	0
FRLUL0AW1.00	SALO_FRLU_L0AW1.00	L0AW1.00	SALO	FRLU	FRLUL0AW1.00	0	1.00	0	0	0	0
FRLUL0AW1.00	SAND_FRLU_L0AW1.00	L0AW1.00	SAND	FRLU	FRLUL0AW1.00	0	1.00	0	0	0	0
USMAL0AW1.00	SICL_USMA_L0AW1.00	L0AW1.00	SICL	USMA	USMAL0AW1.00	0	1.00	0	0	0	0
USMAL0AW1.00	SILO_USMA_L0AW1.00	L0AW1.00	SILO	USMA	USMAL0AW1.00	0	1.00	0	0	0	0
USMAL0AW1.00	SALO_USMA_L0AW1.00	L0AW1.00	SALO	USMA	USMAL0AW1.00	0	1.00	0	0	0	0
USMAL0AW1.00	SAND_USMA_L0AW1.00	L0AW1.00	SAND	USMA	USMAL0AW1.00	0	1.00	0	0	0	0
FRMOL0AW1.00	SICL_FRMO_L0AW1.00	L0AW1.00	SICL	FRMO	FRMOL0AW1.00	0	1.00	0	0	0	0
FRMOL0AW1.00	SILO_FRMO_L0AW1.00	L0AW1.00	SILO	FRMO	FRMOL0AW1.00	0	1.00	0	0	0	0
FRMOL0AW1.00	SALO_FRMO_L0AW1.00	L0AW1.00	SALO	FRMO	FRMOL0AW1.00	0	1.00	0	0	0	0
FRMOL0AW1.00	SAND_FRMO_L0AW1.00	L0AW1.00	SAND	FRMO	FRMOL0AW1.00	0	1.00	0	0	0	0
CAQCL0AW1.00	SICL_CAQC_L0AW1.00	L0AW1.00	SICL	CAQC	CAQCL0AW1.00	0	1.00	0	0	0	0
CAQCL0AW1.00	SILO_CAQC_L0AW1.00	L0AW1.00	SILO	CAQC	CAQCL0AW1.00	0	1.00	0	0	0	0
CAQCL0AW1.00	SALO_CAQC_L0AW1.00	L0AW1.00	SALO	CAQC	CAQCL0AW1.00	0	1.00	0	0	0	0
CAQCL0AW1.00	SAND_CAQC_L0AW1.00	L0AW1.00	SAND	CAQC	CAQCL0AW1.00	0	1.00	0	0	0	0
USGAL2AW0.00	SICL_USGA_L2AW0.00	L2AW0.00	SICL	USGA	USGAL2AW0.00	2	0.00	0	0	1800	0
